序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
148,007114,永赢高端制造混合C,2026-04-27,2.3557,2.3557,0.54,0.66,22.54,11.41,23.63,168.0,191.69,140.77,21.45,135.55,168.4558,0.00%
149,010237,安信创新先锋混合发起A,2026-04-27,1.6033,1.6033,0.76,2.2,30.64,31.04,35.99,167.93,227.27,143.44,32.99,60.33,168.2001,0.15%
150,018358,华富数字经济混合A,2026-04-27,2.4699,2.4699,2.35,1.49,25.03,32.53,63.84,167.57,214.2,,51.05,146.99,166.4689,0.15%
151,011126,富国互联科技股票C,2026-04-27,5.5582,5.5582,1.64,5.26,26.8,33.07,37.63,166.9,170.54,146.94,38.05,116.98,163.8845,0.00%
152,010238,安信创新先锋混合发起C,2026-04-27,1.5607,1.5607,0.76,2.19,30.58,30.88,35.65,166.83,224.13,139.92,32.78,56.07,167.1059,0.00%
153,001040,新华策略精选股票A,2026-04-27,3.1699,3.6079,0.44,1.3,21.36,20.85,47.44,166.62,195.29,95.34,41.61,296.26,166.3558,0.15%
154,012920,易方达全球成长精选混合(QDII)人民币A,2026-04-24,3.5521,3.5521,1.37,3.5,21.46,33.68,47.43,166.59,237.91,283.35,41.76,255.21,,0.15%
155,018359,华富数字经济混合C,2026-04-27,2.4419,2.4419,2.34,1.48,24.98,32.41,63.51,166.5,211.71,,50.86,144.19,165.3951,0.00%
156,002770,安信新回报混合A,2026-04-27,6.2072,6.2572,1.44,5.08,33.07,22.39,29.44,166.49,183.46,161.47,32.5,549.35,165.7533,0.08%
157,014191,广发先进制造股票发起式A,2026-04-27,2.2567,2.2567,0.86,1.53,23.4,17.79,46.51,166.28,210.37,160.14,35.65,125.67,164.8087,0.15%
158,002771,安信新回报混合C,2026-04-27,6.0785,6.1285,1.44,5.07,33.05,22.33,29.31,165.96,182.33,159.89,32.41,535.94,165.2166,0.00%
159,014192,广发先进制造股票发起式C,2026-04-27,2.2209,2.2209,0.85,1.52,23.37,17.68,46.22,165.37,208.07,157.2,35.49,122.09,163.8902,0.00%
160,012922,易方达全球成长精选混合(QDII)人民币C,2026-04-24,3.487,3.487,1.37,3.49,21.41,33.51,47.05,165.31,234.81,278.45,41.54,248.7,,0.00%
161,001877,宝盈国家安全沪港深股票A,2026-04-27,3.4085,3.4085,1.48,2.81,26.77,22.9,66.77,165.09,188.98,172.72,39.75,240.85,165.6664,0.15%
162,013613,宝盈国家安全沪港深股票C,2026-04-27,3.3182,3.3182,1.47,2.79,26.7,22.72,66.28,163.64,185.58,167.9,39.48,92.61,164.23,0.00%
163,001613,长城久祥混合A,2026-04-27,2.4379,2.4379,0.3,0.99,28.64,42.99,48.95,163.56,156.89,117.65,47.62,143.79,163.1585,0.15%
